"id","name","type","generalTrait","combatTerriCraft","deviatedTrait","scpTrait","stock","price","status","image"
"1","Atomic lighter","Starfall","Starfall Inversion","Waste Not","Moonlight Assault","Crit Damage","1","350","In Stock",""
"2","By-the-Wind","Lunar","Frigid Touch","Lunar Oracle","Moonlight Assault","Elemental DMG Bonus","1","300","In Stock",""
"3","By-the-Wind","Variant","Frigid Touch","Crack Shot","Moonlight Assault","Physical DMG Bonus","1","150","In Stock",""
"4","Chaos Mini Wonder","Chaos","Power Rewind 2","Psychic Kid","Moonlight Assault","Elemental DMG Bonus","1","300","In Stock",""
"5","Chaos Mini Wonder","Chaos","Power Rewind 2","Crack Shot","Moonlight Assault","Attack","1","300","In Stock",""
"6","Chaos Mr. Wish","Chaos","Power Rewind 2","Psychic Kid","Moonlight Assault","","1","300","In Stock",""
"7","Chaos Mr. Wish","Chaos","Power Rewind 2","Psychic Kid","Moonlight Assault","Elemental DMG Bonus","1","300","In Stock",""
"8","Chaos Mr. Wish","Chaos","Power Rewind 2","Crack Shot","Moonlight Assault","Crit Damage","1","300","In Stock",""
"9","Chaos Snowsprite","Chaos","Power Rewind 2","Psychic Kid","Moonlight Assault","Elemental DMG Bonus","1","300","In Stock",""
"10","Chaosaurus","Chaos","Power Rewind 2","Psychic Kid","Moonlight Assault","Elemental DMG Bonus","4","300","In Stock",""
"11","Chaosaurus","Chaos","Power Rewind 2","Psychic Kid","Moonlight Assault","","1","200","In Stock",""
"12","Chaotic Extradimensional Cat","Chaos","Optimist","A World of Charm","Moonlight Assault","HP","2","350","In Stock",""
"13","Chaotic Extradimensional Cat","Chaos","Rise and Shine 5","A World of Charm","Moonlight Assault","HP Percentage","1","350","In Stock",""
"14","Doctor Raven","Normal","Optimist","A World of Charm","Moonlight Assault","HP","1","200","In Stock",""
"15","Electric Eel","Normal","Rise and Shine 5","Anti-Burnout","Moonlight Assault","","3","100","In Stock",""
"16","Flame Essence","Variant","Prince","Devoted laborer","Moonlight Assault","HP Percentage","1","150","In Stock",""
"17","Growshroom","Variant","Optimism-Extra Large","Sweet Talk","Herbivore","HP","6","100","In Stock",""
"18","Invincible Sun","Starfall","Power Rewind 2","Starfall Inversion","Moonlight Assault","Elemental DMG Bonus","1","350","In Stock",""
"19","Invincible Sun","Starfall","Infrasonic Illusion","Starfall Inversion","Moonlight Assault","Elemental DMG Bonus","1","350","In Stock",""
